tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
1990-605,Tour Finals,Carpet,8,F,19901112,001,101222,1,,Stefan Edberg,R,188,SWE,,1,3889,101948,5,,Pete Sampras,R,185,USA,,5,1888,7-5 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1990-605,Tour Finals,Carpet,8,F,19901112,002,101414,2,,Boris Becker,R,190,GER,,2,2945,100656,3,,Ivan Lendl,R,188,USA,,3,2581,1-6 7-6 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1990-605,Tour Finals,Carpet,8,F,19901112,003,101404,7,,Thomas Muster,L,180,AUT,,7,1654,100653,6,,Andres Gomez,L,193,ECU,,6,1680,7-5 5-7 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1990-605,Tour Finals,Carpet,8,F,19901112,004,101414,2,,Boris Becker,R,190,GER,,2,2945,101404,7,,Thomas Muster,L,180,AUT,,7,1654,7-5 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1990-605,Tour Finals,Carpet,8,F,19901112,005,100656,3,,Ivan Lendl,R,188,USA,,3,2581,100653,6,,Andres Gomez,L,193,ECU,,6,1680,6-4 6-1,3,RR,,,,,,,,,,,,,,,,,,,
1990-605,Tour Finals,Carpet,8,F,19901112,006,101736,4,,Andre Agassi,R,180,USA,,4,2103,101142,8,,Emilio Sanchez,R,180,ESP,,8,1512,6-0 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1990-605,Tour Finals,Carpet,8,F,19901112,007,101222,1,,Stefan Edberg,R,188,SWE,,1,3889,101736,4,,Andre Agassi,R,180,USA,,4,2103,7-6 4-6 7-6,3,RR,,,,,,,,,,,,,,,,,,,
1990-605,Tour Finals,Carpet,8,F,19901112,008,101414,2,,Boris Becker,R,190,GER,,2,2945,100653,6,,Andres Gomez,L,193,ECU,,6,1680,4-6 6-3 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1990-605,Tour Finals,Carpet,8,F,19901112,009,101948,5,,Pete Sampras,R,185,USA,,5,1888,101142,8,,Emilio Sanchez,R,180,ESP,,8,1512,6-2 6-4,3,RR,,,,,,,,,,,,,,,,,,,
1990-605,Tour Finals,Carpet,8,F,19901112,010,101222,1,,Stefan Edberg,R,188,SWE,,1,3889,101142,8,,Emilio Sanchez,R,180,ESP,,8,1512,6-7 6-3 6-1,3,RR,,,,,,,,,,,,,,,,,,,
1990-605,Tour Finals,Carpet,8,F,19901112,011,100656,3,,Ivan Lendl,R,188,USA,,3,2581,101404,7,,Thomas Muster,L,180,AUT,,7,1654,6-3 6-3,3,RR,,,,,,,,,,,,,,,,,,,
1990-605,Tour Finals,Carpet,8,F,19901112,012,101736,4,,Andre Agassi,R,180,USA,,4,2103,101948,5,,Pete Sampras,R,185,USA,,5,1888,6-4 6-2,3,RR,,,,,,,,,,,,,,,,,,,
1990-605,Tour Finals,Carpet,8,F,19901112,013,101222,1,,Stefan Edberg,R,188,SWE,,1,3889,100656,3,,Ivan Lendl,R,188,USA,,3,2581,6-4 6-2,3,SF,,,,,,,,,,,,,,,,,,,
1990-605,Tour Finals,Carpet,8,F,19901112,014,101736,4,,Andre Agassi,R,180,USA,,4,2103,101414,2,,Boris Becker,R,190,GER,,2,2945,6-2 6-4,3,SF,,,,,,,,,,,,,,,,,,,
1990-605,Tour Finals,Carpet,8,F,19901112,015,101736,4,,Andre Agassi,R,180,USA,,4,2103,101222,1,,Stefan Edberg,R,188,SWE,,1,3889,5-7 7-6 7-5 6-2,5,F,,,,,,,,,,,,,,,,,,,